4

File Contents:
Measurement type,Year,Month,Day,Hour,Minute,Second,Reference A/D,Current A/D,CH4 (PPM),Corrected disolved CH4 (PPM),Pressure sensor temperature,Pressure,IRGA detector temperature,Supply voltage, Board temperature A/D,Analog in 1 A/D,Analog in 2 A/D
%s,%4.0f,%2.0f,%2.0f,%2.0f,%2.0f,%2.0f,%5.0f,%5.0f,%07.1f,%03.2f,%02.1f,%4.1f,%02.1f,%02.1f,%04.0f,%04.0f,%04.0f
W M,2017,10,21,15,27,17,555,1214,57000.003,55461.316,0.635,1027.743,-5.448,6.6,4095,2768,2075
W M,2017,10,21,15,27,39,556,1214,58000.000,56425.519,0.633,1027.904,-5.448,6.6,4095,2723,2074
W M,2017,10,21,15,28,01,556,1213,58000.000,56420.863,0.622,1027.989,-5.507,6.6,4095,2750,2056
W M,2017,10,21,15,28,23,555,1213,58000.000,56410.960,0.616,1028.169,-5.507,6.6,4095,2763,2084
W M,2017,10,21,15,28,45,555,1212,59000.000,57393.144,0.617,1027.997,-5.507,6.6,4095,2741,2077
W M,2017,10,21,15,29,07,556,1212,60000.000,58371.011,0.611,1027.907,-5.507,6.6,4095,2783,2065
W M,2017,10,21,15,29,29,556,1211,60000.000,58367.070,0.605,1027.977,-5.507,6.6,4095,2654,2056
W M,2017,10,21,15,29,51,556,1211,60000.000,58370.359,0.612,1027.919,-5.507,6.6,4095,2741,2059
W M,2017,10,21,15,30,13,556,1210,61000.000,59332.843,0.597,1028.098,-5.507,6.6,4034,2641,2055
W M,2017,10,21,15,30,35,555,1209,61000.000,59342.398,0.597,1027.933,-5.507,6.6,4095,2697,2039
W M,2017,10,21,15,30,57,556,1209,62000.003,60314.953,0.586,1027.937,-5.507,6.6,4050,2716,2042
W M,2017,10,21,15,31,19,555,1208,62000.003,60315.500,0.605,1027.928,-5.507,6.6,4009,2706,2035
W M,2017,10,21,15,31,41,555,1207,63000.000,61279.687,0.591,1028.073,-5.507,6.6,4095,2739,2044
W M,2017,10,21,15,32,03,555,1206,64000.000,62253.859,0.561,1028.049,-5.507,6.6,3984,2694,2048
W M,2017,10,21,15,32,25,555,1206,64000.000,62253.476,0.571,1028.055,-5.507,6.7,4095,2726,2055
W M,2017,10,21,15,32,47,555,1206,64000.000,62257.246,0.559,1027.993,-5.507,6.6,4095,2760,2059
W M,2017,10,21,15,33,09,555,1205,65000.000,63225.039,0.568,1028.074,-5.507,6.6,4095,2654,2043
W M,2017,10,21,15,33,31,555,1205,65000.000,63229.550,0.559,1028.000,-5.507,6.7,4061,2706,2042
W M,2017,10,21,15,33,53,555,1204,66000.000,64200.785,0.567,1028.025,-5.507,6.6,4019,2661,2047
W M,2017,10,21,15,34,15,555,1204,67000.000,65167.375,0.550,1028.122,-5.507,6.6,4009,2686,2064
W M,2017,10,21,15,34,37,555,1203,67000.000,65169.750,0.560,1028.084,-5.507,6.6,4095,2683,2046
W M,2017,10,21,15,34,59,555,1202,67000.000,65171.777,0.538,1028.052,-5.507,6.6,4038,2686,2048
W M,2017,10,21,15,35,21,555,1202,67000.000,65168.937,0.553,1028.097,-5.507,6.6,4011,2648,2028
W M,2017,10,21,15,35,43,555,1201,68000.000,66156.343,0.558,1027.868,-5.507,6.6,4095,2650,2026
W M,2017,10,21,15,36,05,555,1201,68000.000,66144.687,0.542,1028.049,-5.507,6.6,4042,2707,2055
W M,2017,10,21,15,36,27,555,1200,69000.000,67111.203,0.542,1028.144,-5.566,6.6,4095,2656,2028
W M,2017,10,21,15,36,49,555,1200,69000.000,67113.187,0.539,1028.114,-5.507,6.6,4095,2749,2071
W M,2017,10,21,15,37,11,555,1199,69000.000,67115.726,0.547,1028.075,-5.566,6.6,4095,2674,2047
W M,2017,10,21,15,37,33,555,1199,70000.000,68101.773,0.539,1027.873,-5.507,6.6,4095,2784,2050
W M,2017,10,21,15,37,55,555,1198,70000.000,68085.171,0.553,1028.124,-5.507,6.6,4095,2724,2053
W M,2017,10,21,15,38,17,555,1197,71000.000,69061.398,0.528,1028.071,-5.566,6.6,4095,2658,2031
W M,2017,10,21,15,38,39,555,1197,72000.000,70036.054,0.539,1028.042,-5.566,6.6,4095,2708,2048
W M,2017,10,21,15,39,01,555,1196,72000.000,70032.421,0.527,1028.095,-5.507,6.6,4095,2727,2030
W M,2017,10,21,15,39,23,555,1196,72000.000,70028.500,0.513,1028.153,-5.507,6.6,4045,2713,2059
W M,2017,10,21,15,39,45,555,1195,73000.000,71000.546,0.541,1028.161,-5.566,6.6,4095,2698,2045
W M,2017,10,21,15,40,07,555,1195,74000.000,71979.070,0.532,1028.077,-5.566,6.6,4095,2717,2051
W M,2017,10,21,15,40,29,555,1195,74000.000,71985.718,0.536,1027.982,-5.566,6.6,4095,2746,2053
W M,2017,10,21,15,40,51,555,1194,75000.000,72964.453,0.528,1027.898,-5.507,6.6,4095,2687,2046
W M,2017,10,21,15,41,13,555,1193,75000.000,72956.656,0.505,1028.008,-5.566,6.6,4095,2678,2038
W M,2017,10,21,15,41,35,555,1193,75000.000,72954.710,0.520,1028.035,-5.507,6.6,4095,2715,2054
W M,2017,10,21,15,41,57,555,1193,75000.000,72950.531,0.532,1028.094,-5.566,6.6,4095,2721,2045
W M,2017,10,21,15,42,19,555,1192,76000.000,73930.906,0.537,1027.987,-5.507,6.6,4095,2679,2026
W M,2017,10,21,15,42,41,555,1192,76000.000,73929.460,0.513,1028.007,-5.566,6.6,4095,2713,2042
W M,2017,10,21,15,43,03,555,1191,77000.000,74890.195,0.523,1028.172,-5.566,6.6,4036,2688,2042
W M,2017,10,21,15,43,25,555,1191,77000.000,74901.226,0.531,1028.020,-5.507,6.6,4095,2644,2027
W M,2017,10,21,15,43,47,555,1190,78000.000,75878.359,0.525,1027.961,-5.566,6.6,4095,2760,2036
W M,2017,10,21,15,44,09,555,1190,78000.000,75871.570,0.515,1028.053,-5.566,6.6,4015,2659,2037
W M,2017,10,21,15,44,31,555,1189,79000.000,76850.195,0.505,1027.974,-5.566,6.6,4095,2725,2056
W M,2017,10,21,15,44,53,555,1188,79000.000,76848.039,0.520,1028.003,-5.566,6.6,4095,2704,2066
W M,2017,10,21,15,45,15,554,1188,79000.000,76838.945,0.521,1028.125,-5.566,6.6,4095,2796,2055
W M,2017,10,21,15,45,37,555,1188,80000.000,77805.351,0.515,1028.207,-5.507,6.6,4095,2782,2072
W M,2017,10,21,15,45,59,555,1188,80000.000,77811.984,0.524,1028.119,-5.566,6.5,4095,2754,2083
W M,2017,10,21,15,46,21,554,1187,80000.000,77810.265,0.519,1028.142,-5.566,6.6,4095,2774,2064
W M,2017,10,21,15,46,43,555,1186,81000.000,78791.250,0.527,1028.033,-5.566,6.6,4095,2728,2079
W M,2017,10,21,15,47,05,554,1186,81000.000,78789.890,0.505,1028.051,-5.566,6.6,4095,2761,2069
W M,2017,10,21,15,47,27,554,1185,81000.000,78781.382,0.504,1028.162,-5.566,6.6,4095,2754,2057
W M,2017,10,21,15,47,49,554,1185,82000.000,79761.601,0.510,1028.064,-5.566,6.6,4095,2726,2054
W M,2017,10,21,15,48,11,555,1184,83000.000,80724.515,0.511,1028.188,-5.566,6.6,4095,2755,2069
W M,2017,10,21,15,48,33,555,1184,83000.000,80738.867,0.492,1028.005,-5.566,6.6,4095,2766,2068
W M,2017,10,21,15,48,55,554,1184,83000.000,80733.093,0.500,1028.079,-5.566,6.6,4095,2763,2064
W M,2017,10,21,15,49,17,555,1184,84000.007,81698.906,0.500,1028.166,-5.566,6.6,4095,2800,2059
W M,2017,10,21,15,49,39,555,1183,84000.007,81705.335,0.510,1028.085,-5.566,6.6,4095,2775,2058
W M,2017,10,21,15,50,01,554,1183,84000.007,81706.968,0.506,1028.064,-5.566,6.6,4095,2747,2059
W M,2017,10,21,15,50,23,555,1182,85000.000,82674.851,0.488,1028.124,-5.566,6.6,4095,2754,2078
W M,2017,10,21,15,50,45,554,1182,85000.000,82675.750,0.496,1028.113,-5.566,6.6,4095,2745,2065
W M,2017,10,21,15,51,07,554,1181,86000.000,83635.640,0.493,1028.270,-5.566,6.6,4029,2694,2028
W M,2017,10,21,15,51,29,554,1181,86000.000,83647.476,0.469,1028.124,-5.566,6.6,4095,2763,2060
W M,2017,10,21,15,51,51,554,1181,86000.000,83642.796,0.486,1028.182,-5.507,6.6,4018,2701,2053
W M,2017,10,21,15,52,13,554,1180,87000.000,84610.445,0.491,1028.242,-5.566,6.6,4093,2750,2056
W M,2017,10,21,15,52,35,554,1180,87000.000,84605.984,0.495,1028.296,-5.566,6.6,4095,2794,2057
W M,2017,10,21,15,52,57,554,1179,87000.000,84626.343,0.477,1028.049,-5.566,6.6,4095,2750,2079
W M,2017,10,21,15,53,19,554,1179,88000.000,85599.070,0.488,1028.049,-5.566,6.6,4095,2771,2054
W M,2017,10,21,15,53,41,554,1178,88000.000,85599.898,0.477,1028.039,-5.566,6.6,4079,2701,2043
W M,2017,10,21,15,54,03,554,1178,88000.000,85600.523,0.474,1028.031,-5.566,6.5,4095,2647,2060
W M,2017,10,21,15,54,25,554,1178,89000.007,86572.507,0.480,1028.040,-5.566,6.6,4095,2729,2062
W M,2017,10,21,15,54,47,554,1178,89000.007,87090.125,0.468,1021.930,-5.566,6.5,4095,2638,2027
W M,2017,10,21,15,55,09,554,1178,89000.007,87062.960,0.486,1022.249,-5.566,6.6,4095,2738,2058
W M,2017,10,21,15,55,31,554,1180,87000.000,85101.148,0.477,1022.313,-5.566,6.5,4015,2661,2055
W M,2017,10,21,15,55,53,554,1183,84000.007,82176.835,0.474,1022.186,-5.566,6.6,4095,2712,2066
W M,2017,10,21,15,56,15,554,1186,79000.000,77280.695,0.489,1022.247,-5.507,6.6,4095,2731,2059
W M,2017,10,21,15,56,37,554,1189,78000.000,76297.148,0.505,1022.319,-5.507,6.6,4095,2712,2034
W M,2017,10,21,15,56,59,555,1191,77000.000,75335.695,0.503,1022.092,-5.507,6.6,4095,2736,2054
W M,2017,10,21,15,57,21,555,1193,76000.000,74341.179,0.524,1022.314,-5.507,6.6,4095,2763,2070
W M,2017,10,21,15,57,43,555,1196,73000.000,71414.062,0.535,1022.208,-5.448,6.6,4095,2730,2052
W M,2017,10,21,15,58,05,555,1198,71000.000,69440.859,0.595,1022.453,-5.448,6.6,4095,2806,2082
W M,2017,10,21,15,58,27,555,1201,68000.000,66508.343,0.629,1022.428,-5.390,6.6,4095,2753,2059
W M,2017,10,21,17,35,38,365,824,-1250000.000,-1222859.250,5.077,1022.195,-5.801,6.6,4095,2584,1957
W M,2017,10,21,17,36,00,557,1348,-1250000.000,-1222637.250,5.181,1022.380,-5.155,6.6,4095,2639,1937
W M,2017,10,21,17,36,22,553,1347,0.000,0.000,5.314,1022.295,-4.686,6.6,4095,2651,1965

Finished.


***************************************************************************************
  1) START sampling mode                                    6) Print status banner
  2) STOP sampling                                          7) Pressure and temperature
  3) Setup sampling

  4) View logged data                                       t) Set clock time
  5) Erase logged data                                      b) Set baud rate
                                                            f) Restore factory defaults

  s) Single sample acquisition in command mode
***************************************************************************************

>>
